,title,star_count,review_count,attributes,address,hours,menu,phone,website,city,state,pictures
0,Airline Grill,4.4,147 Google reviews,['Restaurant'],"405 Mashamoquet Rd, Pomfret Center, CT 06259","{'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': 'Closed', 'Friday': 'Closed', 'Saturday': 'Closed', 'Sunday': '12–12:01AM', 'Monday': 'Closed'}",http://www.airlinegrill.com/,(860) 315-1095,https://airlinegrill.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipPtpnbGZH_srdvRga_yWB62vgzajuz2fRXoz4b_=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNZXw2vAUZP6CFDleVwBPQIJ1Uzbmsd3SgfgF7E=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMkNqh3njEihmg3kvXngaAxVvTCE9VmcxpcSzcU=s1280-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMfMavX8-dM691bZQTENZYb8CetJXN-qloKEldT=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMaJDAnJYCTltkCrgV5CYkOIZsw-Tn86YiWj6CB=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMJQeCnjtGxTCr4p6-vD_miYgrrjf79vUbT0edI=s965-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOzJ6TXweRjlLKOqUijJsoIVwW7cNfS_BqjMCDn=s640-k-no']"
1,Pizzaria 101 & Family Restaurant,4.4,342 Google reviews,"['$', 'Pizza restaurant']","16 Mashamoquet Rd # A, Pomfret Center, CT 06259","{'Tuesday': '11AM–8PM', 'Wednesday': '11AM–8PM', 'Thursday': '11AM–8PM', 'Friday': '11AM–9PM', 'Saturday': '11AM–9PM', 'Sunday': '12–8PM', 'Monday': '11AM–8PM'}",https://slicelife.com/restaurants/ct/pomfret-center/06259/pizza-101/menu?utm_campaign=google-order-action-link,(860) 928-5566,http://www.pizza101menu.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipO4XvWQnyPa1Q9yddrVJWlQeAqF-rQ1kjbnZ14o=s903-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMqFx38V1NAsYePfzJyqc7zDSn1YYvpBi6jjfST=s419-k-no']"
2,Grill 37,4.5,437 Google reviews,"['$$', 'Steak house']","37 Putnam Rd, Pomfret Center, CT 06259","{'Tuesday': '4–9PM', 'Wednesday': '4–9PM', 'Thursday': '4–9PM', 'Friday': '11:30AM–3PM, 4–10PM', 'Saturday': '11:30AM–3PM, 4–10PM', 'Sunday': '10AM–8:30PM', 'Monday': 'Closed'}",/search?q=grill+37+phone&ludocid=17463344733003892357&sa=X&ved=2ahUKEwi4utXHo4buAhUEUzUKHfvcCSAQ6BMwCnoECAcQAg,(860) 315-5640,http://www.grill37.com/,Abington,Connecticut,[]
3,The Vanilla Bean Cafe,4.5,766 Google reviews,"['$$', 'American restaurant']","450 Deerfield Rd, Pomfret, CT 06259","{'Tuesday': '8AM–3PM', 'Wednesday': '8AM–7PM', 'Thursday': '8AM–7PM', 'Friday': '8AM–7PM', 'Saturday': '8AM–7PM', 'Sunday': '8AM–7PM', 'Monday': '8AM–3PM'}",/search?q=the+vanilla+bean+cafe+phone&ludocid=11821086312530493288&sa=X&ved=2ahUKEwje9bHXo4buAhXhEVkFHTlwCu0Q6BMwCXoECAAQAg,(860) 928-1562,http://www.thevanillabeancafe.com/,Abington,Connecticut,[]
4,Elizabeth's Farmhouse,4.8,375 Google reviews,"['$$', 'Restaurant']","75-81 Canal St, Putnam, CT 06260","{'Tuesday': '11:30AM–8:30PM', 'Wednesday': '11:30AM–8:30PM', 'Thursday': '11:30AM–8:30PM', 'Friday': '11:30AM–9PM', 'Saturday': '11:30AM–9PM', 'Sunday': 'Closed', 'Monday': 'Closed'}",,(860) 928-2200,http://www.elizabethsfarmhouse.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipPCvRrHdDjM9LovRBM_aVDGoHAtktvVv00H17gd=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN9FLf0VxVVIftTpG3JEXc_ppr5k-U5rHYzfp3R=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNcFtwz291HEpYQQNSAx71o4S_4iLAnVgWOtXa1=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMFT8BalzKB2o75DRIp4hjL1wHo1QcBiDYI1wYu=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP2y6wWZIYOLYCGtE7v6qt7S3UIdI6US0aZ3wIZ=s812-k-no']"
5,,,,,,,,,,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipPCvRrHdDjM9LovRBM_aVDGoHAtktvVv00H17gd=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN9FLf0VxVVIftTpG3JEXc_ppr5k-U5rHYzfp3R=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMhwJBxVh0XjF1SSI2Hpf7jxqq_8gLrBXng1AlW=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNEMg_LcwJHiwzhcJa7Cix9f8gXg4BfESjMV5hQ=s676-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM8SH0fCQobWy4Z7DGQPBxjVqf9UjhzwMppkQ3D=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNcFtwz291HEpYQQNSAx71o4S_4iLAnVgWOtXa1=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMFT8BalzKB2o75DRIp4hjL1wHo1QcBiDYI1wYu=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP2y6wWZIYOLYCGtE7v6qt7S3UIdI6US0aZ3wIZ=s812-k-no']"
6,85 Main,4.4,457 Google reviews,"['$$$', 'New American restaurant']","85 Main Street, Putnam, CT 06260","{'Tuesday': '11:30AM–9:30PM', 'Wednesday': '11:30AM–9:30PM', 'Thursday': '11:30AM–9:30PM', 'Friday': '11:30AM–9:30PM', 'Saturday': '11:30AM–9:30PM', 'Sunday': '11:30AM–9:30PM', 'Monday': '11:30AM–9:30PM'}",/search?q=85+main+phone&ludocid=9657541122021288370&sa=X&ved=2ahUKEwjV4eOEpIbuAhVwGVkFHQ_tBRoQ6BMwCHoECAgQAg,(860) 928-1660,http://www.85main.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipOYXRth7Th8V153j602URqyKdwMLmxI_0FNIp5v=s870-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMfepYqD_sxEpujCJ0dgeh_22VrJXjoo34wxuqY=s870-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO44DgQoRKNZ3kzVDzaGLrCDwkZ10kTXuVSqRKH=s870-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNc5X2lARukXFVJfsnpydl72NnmQVJ2vkB-qGUS=s870-k-no']"
7,Jessica Tuesday's,4.5,266 Google reviews,"['$$', 'Restaurant']","35 Main Street, Putnam, CT 06260","{'Tuesday': '11AM–4PM', 'Wednesday': '11AM–9PM', 'Thursday': '11AM–9PM', 'Friday': '11AM–9PM', 'Saturday': '11AM–9PM', 'Sunday': 'Closed', 'Monday': '11AM–4PM'}",http://jessicatuesdays.com/social-plates,(860) 928-5118,http://jessicatuesdays.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipO8byYQc12MIZ9j1z3w1avJuaQPQrHE86SYNKku=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMpeVAwa0qfc5Hg5mQri5Ce1mVqzQU0y479vsNf=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNZuS67tyLh-0C7_RU2buif1QIa1waUtwIa6tkJ=s1160-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPGcoqRhkQkDb_xbd9ImgS_g7t7xCuedp4uajKf=s811-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMpLP_yCQ13ftW4WQEzVVYoxCxrtCMzSc3FSHST=s750-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMeH5o8Pf3apNSNHSE_lx6G1vzM5KuBiNjgqptr=s1016-k-no']"
8,Black Dog Bar and Grille,4.6,"1,159 Google reviews","['$$', 'Barbecue restaurant']","146 Park Rd, Putnam, CT 06260","{'Tuesday': '3:30–9PM', 'Wednesday': '3:30–9PM', 'Thursday': '3:30–9PM', 'Friday': '12–10PM', 'Saturday': '12–10PM', 'Sunday': '12–9PM', 'Monday': '3:30–9PM'}",http://www.blackdogbarandgrille.com/black-dog-bar-and-grille-ct-drinks/,(860) 928-0501,http://www.blackdogbarandgrille.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipN7n84lmnv9pM9_jS9MMeu-rTVGQ2W1LnZNWkwh=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO4I954f_pG8HIZpdOFDsFIXC20_W2HC7-o3FX9=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNEhtBvSJZsskjmIt7c6Wdc8PvapbzODtSTkUw7=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMmI4JWyejxGotFkFFnsIpLvsA0F_sR2i2KUWEC=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMjekVOrxNPFOt0Rz6CA_aZWL0F-vK17jfLds50=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOIv4N8F0fx7Y1xecgFmral3bVuuGMnG3YRNGJ5=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPTm2It4ss5-UGB_XGd3-5qP1J5xWfsnwcHft0c=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOoXgoex08mv2NukrIOlZQlzy7-0yeAsA2vZ6HQ=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipORkr3oxgO5IqokzX5kWThfyZWPdBIphZmFU9SF=s773-k-no']"
9,The Stomping Ground,4.5,497 Google reviews,"['$$', 'Eclectic restaurant']","132 Main Street, Putnam, CT 06260","{'Tuesday': '11AM–1AM', 'Wednesday': '11AM–1AM', 'Thursday': '11AM–1AM', 'Friday': '11AM–2AM', 'Saturday': '11AM–2AM', 'Sunday': '11AM–12AM', 'Monday': 'Closed'}",http://the-stomping-ground.com/craft-beer/,(860) 928-7900,http://www.the-stomping-ground.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipPneahiqSDwvkqavSPr4yKwWfuVrB3bWzTbUWEF=s954-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOCUQ14NrK8KAhmlZdr9tm8V7eZKQuJJVhOO-Lo=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNnpKwKjKVpurIv3UB35Q6r-ylzq-UsERJr1t2u=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPj-dDBUNjhmal0iaSNAYvQF8IuWCbCL19JMNe6=s676-k-no']"
