,city,st_short,st_long,county,city_alias
0,Holtsville,NY,New York,SUFFOLK,Internal Revenue Service
1,Holtsville,NY,New York,SUFFOLK,Holtsville
2,Adjuntas,PR,Puerto Rico,ADJUNTAS,URB San Joaquin
3,Adjuntas,PR,Puerto Rico,ADJUNTAS,Jard De Adjuntas
4,Adjuntas,PR,Puerto Rico,ADJUNTAS,Colinas Del Gigante
5,Adjuntas,PR,Puerto Rico,ADJUNTAS,Adjuntas
6,Aguada,PR,Puerto Rico,AGUADA,Comunidad Las Flores
7,Aguada,PR,Puerto Rico,AGUADA,URB Isabel La Catolica
8,Aguada,PR,Puerto Rico,AGUADA,Alts De Aguada
9,Aguada,PR,Puerto Rico,AGUADA,Bo Guaniquilla
10,Aguada,PR,Puerto Rico,AGUADA,Aguada
11,Aguada,PR,Puerto Rico,AGUADA,Ext Los Robles
12,Aguadilla,PR,Puerto Rico,AGUADILLA,Ramey
13,Aguadilla,PR,Puerto Rico,AGUADILLA,Aguadilla
14,Aguadilla,PR,Puerto Rico,AGUADILLA,Repto Lopez
15,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Maleza Gdns
16,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Victoria
17,Aguadilla,PR,Puerto Rico,AGUADILLA,Repto Tres Palmas
18,Aguadilla,PR,Puerto Rico,AGUADILLA,Sect Las Villas
19,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Garcia
20,Aguadilla,PR,Puerto Rico,AGUADILLA,Villa Linda
21,Aguadilla,PR,Puerto Rico,AGUADILLA,Villa Universitaria
22,Aguadilla,PR,Puerto Rico,AGUADILLA,Bo Ceiba Baja
23,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Borinquen
24,Aguadilla,PR,Puerto Rico,AGUADILLA,Villa Alegria
25,Aguadilla,PR,Puerto Rico,AGUADILLA,Vista Alegre
26,Aguadilla,PR,Puerto Rico,AGUADILLA,URB San Carlos
27,Aguadilla,PR,Puerto Rico,AGUADILLA,Bda Caban
28,Aguadilla,PR,Puerto Rico,AGUADILLA,Ext El Prado
29,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Esteves
30,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Ramey
31,Aguadilla,PR,Puerto Rico,AGUADILLA,Villas De Almeria
32,Aguadilla,PR,Puerto Rico,AGUADILLA,Bda Esteves
33,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Las Americas
34,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Las Casitas Country Club
35,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Santa Marta
36,Aguadilla,PR,Puerto Rico,AGUADILLA,Ext Marbella
37,Aguadilla,PR,Puerto Rico,AGUADILLA,Repto Juan Aguiar
38,Aguadilla,PR,Puerto Rico,AGUADILLA,Villa Lydia
39,Aguadilla,PR,Puerto Rico,AGUADILLA,Bo Borinquen
40,Aguadilla,PR,Puerto Rico,AGUADILLA,Repto Jimenez
41,Aguadilla,PR,Puerto Rico,AGUADILLA,URB El Prado
42,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Marbella
43,Aguadilla,PR,Puerto Rico,AGUADILLA,URB Rubianes
44,Aguadilla,PR,Puerto Rico,AGUADILLA,Vista Verde
45,Maricao,PR,Puerto Rico,MARICAO,Maricao
46,Maricao,PR,Puerto Rico,MARICAO,URB San Juan Bautista
47,Anasco,PR,Puerto Rico,ANASCO,Anasco
48,Anasco,PR,Puerto Rico,ANASCO,Jard De Anasco
49,Anasco,PR,Puerto Rico,ANASCO,Repto Daguey
50,Anasco,PR,Puerto Rico,ANASCO,URB San Antonio
51,Anasco,PR,Puerto Rico,ANASCO,Brisas De Anasco
52,Anasco,PR,Puerto Rico,ANASCO,Paseo Del Valle
53,Anasco,PR,Puerto Rico,ANASCO,Est De Valle Verde
54,Angeles,PR,Puerto Rico,UTUADO,Angeles
55,Arecibo,PR,Puerto Rico,ARECIBO,Comunidad Buenos Aires
56,Arecibo,PR,Puerto Rico,ARECIBO,Ext Tanama
57,Arecibo,PR,Puerto Rico,ARECIBO,Jard De San Rafael
58,Arecibo,PR,Puerto Rico,ARECIBO,URB College Park Iv
