,city,link,state,title
0,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=takeout+food&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=CbduW9gdp4XD&rlt=Takeout&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMAV6BAgAEAQ",['Connecticut'],Takeout
1,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=Delivery+Food&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=&rlt=Delivery&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMAZ6BAgAEAY",['Connecticut'],Delivery
2,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=warm+and+cozy+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=CTcgir542uk7&rlt=Cozy+restaurants&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMAd6BAgAEAg",['Connecticut'],Cozy restaurants
3,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=pizza+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=CctwXEKRSR05&rlt=Pizza+restaurants&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMAh6BAgAEAo",['Connecticut'],Pizza restaurants
4,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+breakfast+with+kids&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=CbweiM9izdKE&rlt=Breakfasts+with+kids&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMAl6BAgAEAw",['Connecticut'],Breakfasts with kids
5,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=italian+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=CSO8Wio6s7c5&rlt=Italian+restaurants&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMAp6BAgAEA4",['Connecticut'],Italian restaurants
6,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+lunch&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=CQL7Rj2QCihJ&rlt=Best+lunches&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMAt6BAgAEBA",['Connecticut'],Best lunches
7,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=group-friendly+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=CavoPZOXavlr&rlt=Group-friendly+dining&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMAx6BAgAEBI",['Connecticut'],Group-friendly dining
8,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=cheap+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=CWHoktHUa2cp&rlt=Cheap+eats&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMA16BAgAEBQ",['Connecticut'],Cheap eats
9,['Broad Brook'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=chinese+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCQ0_8KmK-eaJERwdgqeue-pb&lsspp=CYOJXNbKuc1T&rlt=Chinese+restaurants&owsq=Broad+Brook,+Connecticut+Restaurants&ved=2ahUKEwiYu5DKwoXuAhVSEFkFHbJIBE4Q9s8CMA56BAgAEBY",['Connecticut'],Chinese restaurants
